date,Mkt-RF,SMB,HML,RF,ge,ibm,mobil,CRSP
199612,-1.6,3.13,0.94,0.46,-4.4279,-4.9412,0.9288,-1.1361
199701,4.89,-1.51,-2.32,0.45,4.6776,3.5479,7.362,5.3049
199702,-0.5,-2.57,4.73,0.39,-0.6039,-8.1434,-5.6686,-0.0873
199703,-4.91,-0.33,3.88,0.43,-3.0182,-4.5217,6.4155,-4.4405
199704,3.8,-5.16,-1.04,0.43,11.8388,16.9399,-0.4785,4.25
199705,6.67,4.8,-4.33,0.49,8.7838,7.9128,8.4115,7.1312
199706,4.04,1.51,0.65,0.37,7.6605,4.3353,-0.0894,4.4189
199707,7.22,-2.42,-0.38,0.43,8.2846,17.1745,10.2397,7.6272
199708,-4.04,7.49,1.06,0.41,-10.7843,-3.948,-4.902,-3.6411
199709,5.4,2.68,-0.26,0.44,9.2068,4.5623,1.7182,5.797
199710,-3.87,-0.86,2.28,0.42,-5.0505,-7.0755,-0.8885,-3.4091
199711,2.66,-5.02,0.98,0.39,14.3133,11.3706,-1.2017,3.1223
199712,1.3,-2.35,3.8,0.48,-0.2707,-4.4521,0.3475,1.8058
199801,0.02,-1.02,-1.8,0.43,5.6218,-5.6153,-5.1082,0.4452
199802,6.93,0.27,-0.74,0.39,0.3226,5.962,6.3066,7.2849
199803,4.74,-1.18,1.66,0.39,11.2379,-0.5386,6.0554,5.1306
199804,0.66,0.44,0.32,0.43,-1.1603,11.5523,3.2626,1.0859
199805,-2.98,-3.59,4.26,0.4,-2.1277,1.5922,-0.7014,-2.543
199806,2.79,-3.26,-1.88,0.41,8.9955,-2.2872,-1.7628,3.2986
199807,-2.73,-4.95,-1.13,0.4,-1.2517,15.4056,-8.2284,-2.3231
199808,-16.2,-5.71,5.13,0.43,-10.5521,-14.834,-0.8961,-15.6572
199809,5.92,-0.17,-3.92,0.46,-0.1719,14.0954,9.8553,6.4033
199810,7.12,-3.24,-2.72,0.32,9.9764,15.5642,-0.3292,7.4123
199811,5.89,1.11,-3.42,0.31,3.2857,11.3434,14.3782,6.1343
199812,5.93,-0.28,-4.86,0.38,13.2503,11.6578,1.3081,6.316
